# r g_avg g_std
# polymer_length=12 dr=0.1000
0.050000 0.000000 0.000000
0.150000 0.490708 1.164482
0.250000 0.446686 0.669049
0.350000 0.541486 0.522842
0.450000 0.521454 0.404236
0.550000 0.511257 0.325313
0.650000 0.550730 0.285194
0.750000 0.545674 0.246470
0.850000 0.532366 0.210027
0.950000 0.543231 0.192620
1.050000 0.642008 0.187405
1.150000 0.580520 0.161277
1.250000 0.619049 0.153818
1.350000 0.664862 0.149410
1.450000 0.647495 0.136751
1.550000 0.671673 0.129288
1.650000 0.749302 0.130513
1.750000 0.741063 0.120881
1.850000 0.758241 0.115411
1.950000 0.794364 0.112179
2.050000 0.857387 0.112348
2.150000 0.816946 0.103537
2.250000 0.886002 0.101393
2.350000 0.885857 0.097039
2.450000 0.893102 0.095683
2.550000 0.926285 0.091656
2.650000 0.946353 0.089355
2.750000 0.932256 0.086631
2.850000 0.992378 0.085397
2.950000 0.941829 0.078332
3.050000 0.986222 0.081434
3.150000 0.991435 0.075970
3.250000 0.992414 0.075692
3.350000 0.986934 0.072412
3.450000 1.003013 0.071640
3.550000 1.024128 0.070518
3.650000 1.001752 0.067143
3.750000 0.999701 0.064582
3.850000 1.023298 0.064954
3.950000 0.984179 0.063266
4.050000 1.017227 0.060705
4.150000 1.023439 0.059603
4.250000 0.997846 0.059130
4.350000 1.004281 0.056611
4.450000 1.011285 0.054384
4.550000 1.008377 0.053542
4.650000 1.000746 0.052962
4.750000 1.013710 0.051941
4.850000 0.991061 0.049587
4.950000 0.999370 0.050385
5.050000 1.008746 0.049164
5.150000 1.011625 0.047495
5.250000 0.996051 0.046577
5.350000 1.009621 0.045692
5.450000 1.002439 0.044844
5.550000 0.996233 0.043434
5.650000 1.008741 0.043497
5.750000 1.002744 0.042422
5.850000 0.996291 0.041426
5.950000 0.986870 0.040291
6.050000 1.025389 0.040904
6.150000 0.993544 0.039199
6.250000 0.996920 0.039526
6.350000 1.003454 0.039172
6.450000 0.991299 0.038294
6.550000 0.999114 0.038413
6.650000 1.006165 0.036517
6.750000 0.996101 0.036255
6.850000 1.003249 0.035845
6.950000 0.992160 0.035385
7.050000 1.016929 0.035009
7.150000 0.986323 0.034527
7.250000 1.002662 0.034034
7.350000 1.000283 0.033964
7.450000 0.995640 0.033357
7.550000 0.995743 0.032567
7.650000 1.006659 0.032718
7.750000 0.993321 0.031775
7.850000 1.009453 0.031417
7.950000 0.989759 0.031036
8.050000 1.007882 0.030044
8.150000 0.994011 0.030160
8.250000 1.001523 0.029603
8.350000 0.997323 0.029313
8.450000 1.000242 0.028718
8.550000 1.009040 0.028629
8.650000 0.999118 0.028309
8.750000 0.997384 0.028051
8.850000 1.002650 0.027772
8.950000 0.992857 0.027481
